Country,Continent,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Colour
Sri Lanka,Asia,2019-01-01,4.213,9.479,0.815,67.4,0.8240000000000001,0.051,0.863,0.816,0.315,2
Swaziland,Africa,2019-01-01,4.396,9.07,0.759,51.27,0.597,-0.191,0.7240000000000001,0.778,0.28,1
Sweden,Europe,2019-01-01,7.398,10.882,0.934,72.7,0.9420000000000001,0.091,0.25,0.826,0.20199999999999999,9
Switzerland,Europe,2019-01-01,7.694,11.136,0.9490000000000001,74.4,0.9129999999999999,0.036000000000000004,0.294,0.7979999999999999,0.171,9
Tajikistan,Asia,2019-01-01,5.4639999999999995,8.126,0.88,64.4,,-0.045,0.49,0.7290000000000001,0.17800000000000002,4
Tanzania,Africa,2019-01-01,3.64,7.886,0.687,58.0,0.85,0.1,0.589,0.726,0.243,1
Thailand,Asia,2019-01-01,6.022,9.824,0.903,67.4,0.898,0.309,0.877,0.843,0.20800000000000002,5
Togo,Africa,2019-01-01,4.178999999999999,7.375,0.539,55.1,0.617,0.065,0.737,0.59,0.444,1
Tunisia,Africa,2019-01-01,4.315,9.283,0.61,67.2,0.659,-0.209,0.889,0.539,0.433,2
Turkey,Europe,2019-01-01,4.872,10.245999999999999,0.792,67.2,0.631,-0.136,0.76,0.42200000000000004,0.368,3
Turkmenistan,Asia,2019-01-01,5.474,9.651,0.982,62.6,0.892,0.285,,0.51,0.183,5
Uganda,Africa,2019-01-01,4.948,7.688,0.805,56.1,0.7040000000000001,0.139,0.826,0.693,0.385,1
Ukraine,Europe,2019-01-01,4.702,9.458,0.883,64.9,0.715,-0.081,0.885,0.634,0.201,2
United Arab Emirates,Asia,2019-01-01,6.711,11.114,0.862,67.3,0.9109999999999999,0.129,,0.7929999999999999,0.284,9
United Kingdom,Europe,2019-01-01,7.157,10.751,0.943,72.5,0.8540000000000001,0.271,0.485,0.775,0.251,9
United States,North America,2019-01-01,6.944,11.043,0.917,68.2,0.836,0.14400000000000002,0.7070000000000001,0.815,0.244,9
Uruguay,South America,2019-01-01,6.6,9.979,0.9329999999999999,69.1,0.903,-0.095,0.599,0.889,0.222,8
Uzbekistan,Asia,2019-01-01,6.154,8.853,0.915,65.4,0.97,0.304,0.511,0.845,0.22,7
Vietnam,Asia,2019-01-01,5.4670000000000005,8.992,0.848,68.1,0.9520000000000001,-0.126,0.7879999999999999,0.7509999999999999,0.18600000000000003,4
Zambia,Africa,2019-01-01,3.307,8.155,0.638,55.8,0.8109999999999999,0.077,0.8320000000000001,0.743,0.39399999999999996,1
Zimbabwe,Africa,2019-01-01,2.694,7.95,0.759,56.2,0.632,-0.064,0.831,0.716,0.235,1
