,Firm,Salary,Reports
139,Morgan Stanley,161754.0,3.0
140,Morgan Stanley,89000.0,2.0
141,Morgan Stanley,58500.0,2.0
142,Morgan Stanley,82000.0,2.0
143,Morgan Stanley,81000.0,2.0
144,Morgan Stanley,39500.0,2.0
145,Morgan Stanley,34000.0,2.0
146,Morgan Stanley,108000.0,2.0
147,Morgan Stanley,58500.0,2.0
148,Morgan Stanley,103000.0,2.0
149,Morgan Stanley,35500.0,2.0
150,Morgan Stanley,61000.0,2.0
151,Morgan Stanley,99000.0,2.0
152,Morgan Stanley,97500.0,2.0
153,Morgan Stanley,159000.0,2.0
154,Morgan Stanley,20000.0,2.0
155,Morgan Stanley,92500.0,2.0
156,Morgan Stanley,72500.0,2.0
157,Morgan Stanley,96500.0,2.0
158,Morgan Stanley,115500.0,2.0
159,Morgan Stanley,86000.0,2.0
160,Morgan Stanley,30500.0,2.0
161,Morgan Stanley,151500.0,2.0
162,Morgan Stanley,143500.0,2.0
163,Morgan Stanley,114000.0,2.0
164,Morgan Stanley,29000.0,2.0
165,Morgan Stanley,110500.0,2.0
166,Morgan Stanley,49000.0,2.0
167,Morgan Stanley,186000.0,2.0
168,Morgan Stanley,63000.0,2.0
169,Morgan Stanley,154500.0,2.0
170,Morgan Stanley,43500.0,2.0
171,Morgan Stanley,28500.0,2.0
172,Morgan Stanley,46000.0,2.0
173,Morgan Stanley,145500.0,2.0
174,Morgan Stanley,91000.0,2.0
175,Morgan Stanley,63500.0,2.0
176,Morgan Stanley,116000.0,2.0
177,Morgan Stanley,45000.0,2.0
178,Morgan Stanley,209000.0,2.0
179,Morgan Stanley,58500.0,2.0
180,Morgan Stanley,229000.0,2.0
181,Morgan Stanley,56000.0,2.0
182,Morgan Stanley,107500.0,2.0
183,Morgan Stanley,70500.0,2.0
184,Morgan Stanley,77500.0,2.0
185,Morgan Stanley,56000.0,2.0
186,Morgan Stanley,199500.0,2.0
187,Morgan Stanley,65000.0,2.0
188,Morgan Stanley,36500.0,2.0
189,Morgan Stanley,36500.0,2.0
190,Morgan Stanley,62500.0,2.0
191,Morgan Stanley,41500.0,2.0
192,Morgan Stanley,52500.0,2.0
193,Morgan Stanley,59500.0,2.0
194,Morgan Stanley,106000.0,2.0
195,Morgan Stanley,116500.0,2.0
196,Morgan Stanley,50500.0,2.0
197,Morgan Stanley,101500.0,2.0
198,Morgan Stanley,126000.0,2.0
199,Goldman Sachs,70489.0,20.0
200,Goldman Sachs,403559.0,19.0
201,Goldman Sachs,49714.0,19.0
202,Goldman Sachs,107814.0,17.0
203,Goldman Sachs,45476.0,17.0
204,Goldman Sachs,50974.0,17.0
205,Goldman Sachs,39794.0,17.0
206,Goldman Sachs,52062.0,17.0
207,Goldman Sachs,107244.0,16.0
208,Goldman Sachs,105155.0,16.0
209,Goldman Sachs,62270.0,16.0
210,Goldman Sachs,51267.0,14.0
211,Goldman Sachs,40779.0,14.0
212,Goldman Sachs,68857.0,13.0
213,Goldman Sachs,107905.0,13.0
214,Goldman Sachs,130420.0,12.0
215,Goldman Sachs,74534.0,11.0
216,Goldman Sachs,106032.0,11.0
217,Goldman Sachs,41561.0,10.0
218,Goldman Sachs,70489.0,20.0
219,Goldman Sachs,403559.0,19.0
220,Goldman Sachs,49714.0,19.0
221,Goldman Sachs,107814.0,17.0
222,Goldman Sachs,45476.0,17.0
223,Goldman Sachs,50974.0,17.0
224,Goldman Sachs,39794.0,17.0
225,Goldman Sachs,52062.0,17.0
226,Goldman Sachs,107244.0,16.0
227,Goldman Sachs,105155.0,16.0
228,Goldman Sachs,62270.0,16.0
229,Goldman Sachs,51267.0,14.0
230,Goldman Sachs,40779.0,14.0
231,Goldman Sachs,68857.0,13.0
232,Goldman Sachs,107905.0,13.0
233,Goldman Sachs,130420.0,12.0
234,Goldman Sachs,74534.0,11.0
235,Goldman Sachs,106032.0,11.0
236,Goldman Sachs,41561.0,10.0
237,Goldman Sachs,105723.0,10.0
238,Goldman Sachs,53016.0,10.0
239,Goldman Sachs,49019.0,10.0
240,Goldman Sachs,57033.0,9.0
241,Goldman Sachs,143686.0,9.0
242,Goldman Sachs,49242.0,9.0
243,Goldman Sachs,72904.0,8.0
244,Goldman Sachs,45741.0,8.0
245,Goldman Sachs,90671.0,8.0
