Firm,Salary,Reports,weight,Average salary,Unnamed: 0,Rating
Bank of America,16270547.0,1050.0,0.9999999999999952,81792.08000000002,7,4.0
Barclays,11024360.0,5680.0,1.0000000000000009,60285.1679577465,3,3.9
Citi,13495429.0,1909.0,1.0000000000000002,73256.45678365647,6,3.8
Credit Suisse,19563185.0,1208.0,0.9999999999999976,99323.75745033108,5,3.6
Deutsche Bank,19541020.0,2020.0,1.0000000000000004,95395.3846534654,8,3.8
Goldman Sachs,15217410.0,1106.0,1.0000000000000009,86151.48462929467,1,4.0
JP Morgan,13916967.0,3578.0,0.9999999999999968,69437.37367244273,2,4.1
Morgan Stanley,16046501.0,1870.0,1.000000000000003,76521.81871657747,0,4.1
UBS,16555394.0,1691.0,0.9999999999999972,87228.7185097575,4,4.0
