Firm,Salary,Reports,weight,Average salary
Bank of America,16270547.0,1050.0,0.9999999999999953,81792.08000000002
Barclays,11024360.0,5680.0,1.0000000000000009,60285.1679577465
Citi,13495429.0,1909.0,1.0000000000000002,73256.45678365647
Credit Suisse,19563185.0,1208.0,0.9999999999999977,99323.75745033108
Deutsche Bank,19541020.0,2020.0,1.0000000000000004,95395.3846534654
Goldman Sachs,15217410.0,1106.0,1.0000000000000007,86151.48462929467
JP Morgan,13916967.0,3578.0,0.9999999999999969,69437.37367244273
Morgan Stanley,16046501.0,1870.0,1.0000000000000033,76521.81871657747
UBS,16555394.0,1691.0,0.9999999999999973,87228.7185097575
