,Firm,Salary,Reports
0,ASTRAZENECA,65316.0,8.0
1,ASTRAZENECA,53612.0,7.0
2,ASTRAZENECA,83187.0,7.0
3,ASTRAZENECA,57267.0,6.0
4,ASTRAZENECA,109916.0,6.0
5,ASTRAZENECA,86332.0,6.0
6,ASTRAZENECA,76837.0,6.0
7,ASTRAZENECA,53417.0,6.0
8,ASTRAZENECA,73368.0,5.0
9,ASTRAZENECA,79767.0,5.0
10,ASTRAZENECA,89909.0,5.0
11,ASTRAZENECA,33416.0,5.0
12,ASTRAZENECA,42422.0,5.0
13,ASTRAZENECA,45000.0,5.0
14,ASTRAZENECA,108961.0,5.0
15,ASTRAZENECA,19870.0,5.0
16,ASTRAZENECA,52337.0,5.0
17,ASTRAZENECA,42112.0,5.0
18,ASTRAZENECA,66324.0,5.0
19,ASTRAZENECA,33725.0,4.0
20,ASTRAZENECA,65316.0,8.0
21,ASTRAZENECA,53612.0,7.0
22,ASTRAZENECA,83187.0,7.0
23,ASTRAZENECA,57267.0,6.0
24,ASTRAZENECA,109916.0,6.0
25,ASTRAZENECA,86332.0,6.0
26,ASTRAZENECA,76837.0,6.0
27,ASTRAZENECA,53417.0,6.0
28,ASTRAZENECA,73368.0,5.0
29,ASTRAZENECA,79767.0,5.0
30,ASTRAZENECA,89909.0,5.0
31,ASTRAZENECA,33416.0,5.0
32,ASTRAZENECA,42422.0,5.0
33,ASTRAZENECA,45000.0,5.0
34,ASTRAZENECA,108961.0,5.0
35,ASTRAZENECA,19870.0,5.0
36,ASTRAZENECA,52337.0,5.0
37,ASTRAZENECA,42112.0,5.0
38,ASTRAZENECA,66324.0,5.0
39,ASTRAZENECA,33725.0,4.0
40,ASTRAZENECA,76581.0,4.0
41,ASTRAZENECA,42645.0,4.0
42,ASTRAZENECA,19522.0,4.0
43,ASTRAZENECA,30123.0,4.0
44,ASTRAZENECA,114716.0,4.0
45,ASTRAZENECA,55367.0,4.0
46,ASTRAZENECA,57422.0,4.0
47,ASTRAZENECA,31717.0,4.0
48,ASTRAZENECA,29293.0,4.0
49,ASTRAZENECA,30635.0,4.0
50,ASTRAZENECA,115440.0,4.0
51,ASTRAZENECA,48174.0,4.0
52,ASTRAZENECA,62768.0,4.0
53,ASTRAZENECA,47928.0,3.0
54,ASTRAZENECA,106032.0,3.0
55,ASTRAZENECA,66049.0,3.0
56,ASTRAZENECA,25000.0,3.0
57,ASTRAZENECA,160888.0,3.0
58,ASTRAZENECA,142615.0,3.0
59,ASTRAZENECA,88440.0,3.0
60,ASTRAZENECA,51372.0,3.0
61,ASTRAZENECA,37111.0,3.0
62,ASTRAZENECA,38961.0,3.0
63,ASTRAZENECA,84747.0,3.0
64,ASTRAZENECA,68493.0,3.0
65,ASTRAZENECA,56977.0,3.0
66,ASTRAZENECA,42862.0,3.0
67,ASTRAZENECA,40254.0,3.0
68,ASTRAZENECA,109908.0,3.0
69,ASTRAZENECA,35895.0,3.0
70,ASTRAZENECA,42540.0,3.0
71,ASTRAZENECA,28785.0,3.0
72,ASTRAZENECA,19446.0,3.0
73,ASTRAZENECA,75010.0,3.0
74,ASTRAZENECA,18402.0,3.0
75,ASTRAZENECA,101561.0,3.0
76,ASTRAZENECA,36741.0,3.0
77,ASTRAZENECA,35560.0,3.0
78,ASTRAZENECA,70864.0,3.0
79,ASTRAZENECA,42230.0,3.0
80,ASTRAZENECA,36745.0,3.0
81,ASTRAZENECA,50000.0,3.0
82,ASTRAZENECA,83409.0,3.0
83,ASTRAZENECA,60969.0,3.0
84,ASTRAZENECA,42500.0,2.0
85,ASTRAZENECA,38000.0,2.0
86,ASTRAZENECA,65500.0,2.0
87,ASTRAZENECA,85500.0,2.0
88,ASTRAZENECA,121000.0,2.0
89,ASTRAZENECA,19500.0,2.0
90,ASTRAZENECA,67000.0,2.0
91,ASTRAZENECA,28500.0,2.0
92,ASTRAZENECA,19500.0,2.0
93,ASTRAZENECA,41000.0,2.0
94,ASTRAZENECA,19500.0,2.0
95,ASTRAZENECA,90000.0,2.0
96,ASTRAZENECA,28500.0,2.0
97,ASTRAZENECA,65500.0,2.0
98,ASTRAZENECA,35500.0,2.0
99,ASTRAZENECA,26000.0,2.0
100,ASTRAZENECA,36745.0,3.0
101,ASTRAZENECA,50000.0,3.0
102,ASTRAZENECA,83409.0,3.0
103,ASTRAZENECA,60969.0,3.0
104,ASTRAZENECA,42500.0,2.0
105,ASTRAZENECA,38000.0,2.0
106,ASTRAZENECA,65500.0,2.0
107,ASTRAZENECA,85500.0,2.0
108,ASTRAZENECA,121000.0,2.0
109,ASTRAZENECA,19500.0,2.0
110,ASTRAZENECA,67000.0,2.0
111,ASTRAZENECA,28500.0,2.0
112,ASTRAZENECA,19500.0,2.0
113,ASTRAZENECA,41000.0,2.0
114,ASTRAZENECA,19500.0,2.0
115,ASTRAZENECA,90000.0,2.0
116,ASTRAZENECA,28500.0,2.0
117,ASTRAZENECA,65500.0,2.0
118,ASTRAZENECA,35500.0,2.0
119,ASTRAZENECA,26000.0,2.0
120,ASTRAZENECA,40500.0,2.0
121,ASTRAZENECA,31500.0,2.0
122,ASTRAZENECA,75500.0,2.0
123,ASTRAZENECA,23500.0,2.0
124,ASTRAZENECA,69500.0,2.0
125,ASTRAZENECA,146500.0,2.0
126,ASTRAZENECA,31500.0,2.0
127,ASTRAZENECA,183000.0,2.0
128,ASTRAZENECA,51500.0,2.0
129,ASTRAZENECA,118000.0,2.0
130,ASTRAZENECA,17500.0,2.0
131,ASTRAZENECA,49500.0,2.0
132,ASTRAZENECA,46500.0,2.0
133,ASTRAZENECA,88500.0,2.0
134,ASTRAZENECA,184000.0,2.0
135,ASTRAZENECA,54500.0,2.0
136,ASTRAZENECA,36000.0,2.0
137,ASTRAZENECA,81500.0,2.0
138,ASTRAZENECA,35500.0,2.0
139,ASTRAZENECA,42000.0,2.0
140,ASTRAZENECA,40500.0,2.0
141,ASTRAZENECA,31500.0,2.0
142,ASTRAZENECA,75500.0,2.0
143,ASTRAZENECA,23500.0,2.0
144,ASTRAZENECA,69500.0,2.0
145,ASTRAZENECA,146500.0,2.0
146,ASTRAZENECA,31500.0,2.0
147,ASTRAZENECA,183000.0,2.0
148,ASTRAZENECA,51500.0,2.0
149,ASTRAZENECA,118000.0,2.0
150,ASTRAZENECA,17500.0,2.0
151,ASTRAZENECA,49500.0,2.0
152,ASTRAZENECA,46500.0,2.0
153,ASTRAZENECA,88500.0,2.0
154,ASTRAZENECA,184000.0,2.0
155,ASTRAZENECA,54500.0,2.0
156,ASTRAZENECA,36000.0,2.0
157,ASTRAZENECA,81500.0,2.0
158,ASTRAZENECA,35500.0,2.0
159,ASTRAZENECA,42000.0,2.0
160,ASTRAZENECA,38500.0,1.0
161,ASTRAZENECA,55000.0,1.0
162,ASTRAZENECA,54000.0,1.0
163,ASTRAZENECA,110500.0,1.0
164,ASTRAZENECA,94500.0,1.0
165,ASTRAZENECA,133000.0,1.0
166,ASTRAZENECA,113500.0,1.0
167,ASTRAZENECA,53500.0,1.0
168,ASTRAZENECA,33500.0,1.0
169,ASTRAZENECA,52500.0,1.0
170,ASTRAZENECA,31500.0,1.0
171,ASTRAZENECA,63500.0,1.0
172,ASTRAZENECA,75500.0,1.0
173,ASTRAZENECA,78500.0,1.0
174,ASTRAZENECA,84000.0,1.0
175,ASTRAZENECA,24000.0,1.0
176,ASTRAZENECA,68000.0,1.0
177,ASTRAZENECA,109500.0,1.0
178,ASTRAZENECA,29500.0,1.0
179,ASTRAZENECA,40500.0,1.0
180,ASTRAZENECA,20500.0,1.0
181,ASTRAZENECA,33000.0,1.0
182,ASTRAZENECA,76500.0,1.0
183,ASTRAZENECA,102500.0,1.0
184,ASTRAZENECA,118000.0,1.0
185,ASTRAZENECA,60500.0,1.0
187,ASTRAZENECA,46500.0,1.0
188,ASTRAZENECA,66000.0,1.0
189,ASTRAZENECA,116000.0,1.0
190,ASTRAZENECA,42000.0,1.0
191,ASTRAZENECA,170000.0,1.0
192,ASTRAZENECA,71000.0,1.0
193,ASTRAZENECA,84500.0,1.0
194,ASTRAZENECA,19000.0,1.0
195,ASTRAZENECA,144000.0,1.0
196,ASTRAZENECA,25000.0,1.0
197,ASTRAZENECA,40500.0,1.0
198,ASTRAZENECA,61000.0,1.0
199,ASTRAZENECA,58500.0,1.0
200,UNILEVER,39710.0,63.0
201,UNILEVER,48348.0,36.0
202,UNILEVER,57022.0,30.0
203,UNILEVER,39794.0,24.0
204,UNILEVER,41208.0,20.0
205,UNILEVER,57705.0,18.0
206,UNILEVER,21187.0,17.0
207,UNILEVER,40356.0,17.0
208,UNILEVER,57371.0,16.0
209,UNILEVER,52688.0,16.0
210,UNILEVER,56638.0,16.0
211,UNILEVER,21206.0,16.0
212,UNILEVER,39804.0,16.0
213,UNILEVER,39053.0,16.0
214,UNILEVER,41739.0,13.0
215,UNILEVER,75895.0,13.0
216,UNILEVER,45375.0,13.0
217,UNILEVER,52812.0,11.0
218,UNILEVER,117235.0,11.0
219,UNILEVER,44492.0,10.0
220,UNILEVER,38616.0,10.0
221,UNILEVER,40412.0,10.0
222,UNILEVER,57401.0,9.0
223,UNILEVER,36961.0,9.0
224,UNILEVER,76273.0,9.0
